,AO,district,address,wave,marker-color,iconContent,longitude,latitude,description
170,СВАО,Свиблово,"Москва, Нансена пр., д.10 к.2",1,#0ACF00,1,37.652598,55.85148,"Нансена пр., д.10 к.2"
171,СВАО,Свиблово,"Москва, Седова ул., д.9 к.1",1,#0ACF00,1,37.639788,55.851808,"Седова ул., д.9 к.1"
172,СВАО,Северное Медведково,"Москва, Широкая ул., д.10 к.1",1,#0ACF00,1,37.653056,55.887493,"Широкая ул., д.10 к.1"
173,СВАО,Южное Медведково,"Москва, Дежнева пр., д.20",1,#0ACF00,1,37.636931,55.871304,"Дежнева пр., д.20"
174,СВАО,Южное Медведково,"Москва, Дежнева пр., д.24",1,#0ACF00,1,37.635449,55.871168,"Дежнева пр., д.24"
175,СВАО,Южное Медведково,"Москва, Дежнева пр., д.6 к.1",1,#0ACF00,1,37.643785,55.87192,"Дежнева пр., д.6 к.1"
176,СВАО,Южное Медведково,"Москва, Полярная ул., д.16 к.1",1,#0ACF00,1,37.637308,55.876607,"Полярная ул., д.16 к.1"
177,СВАО,Южное Медведково,"Москва, Полярная ул., д.17 к.1",1,#0ACF00,1,37.635835,55.876395,"Полярная ул., д.17 к.1"
178,СВАО,Южное Медведково,"Москва, Полярная ул., д.4 к.1",1,#0ACF00,1,37.638503,55.872647,"Полярная ул., д.4 к.1"
179,СВАО,Ярославский,"Москва, Проходчиков ул. д.3",1,#0ACF00,1,37.716171,55.871572,Проходчиков ул. д.3
180,ВАО,Богородское,"Москва, Бойцовая ул., д.18 к.13",1,#0ACF00,1,37.727535,55.812808,"Бойцовая ул., д.18 к.13"
181,ВАО,Богородское,"Москва, Ивантеевская ул., д.1 к.3",1,#0ACF00,1,37.714851,55.822994,"Ивантеевская ул., д.1 к.3"
182,ВАО,Богородское,"Москва, Кузнецовская ул., д.7",1,#0ACF00,1,37.701214,55.815028,"Кузнецовская ул., д.7"
183,ВАО,Богородское,"Москва, Миллионная ул., д.10",1,#0ACF00,1,37.69834,55.815473,"Миллионная ул., д.10"
184,ВАО,Богородское,"Москва, Миллионная ул., д.10А",1,#0ACF00,1,37.69922,55.815408,"Миллионная ул., д.10А"
185,ВАО,Богородское,"Москва, Миллионная ул., д.8 к.2",1,#0ACF00,1,37.698879,55.814745,"Миллионная ул., д.8 к.2"
186,ВАО,Богородское,"Москва, Миллионная ул., д.8 к.3",1,#0ACF00,1,37.700011,55.814826,"Миллионная ул., д.8 к.3"
187,ВАО,Богородское,"Москва, Открытое шоссе, д.6 к.3",1,#0ACF00,1,37.732557,55.811017,"Открытое шоссе, д.6 к.3"
